Código,Lote,Cantidad
24511552009,0,235
7910748,0,16
7910748075,0,124
29210748009,0,30
335610732,0,1
335610732003,0,2759
8110732003,0,300
79930575,0,231
7910753009,0,67
24510753095,0,10
365810793,0,9
61110793033,0,26
10773866,0,8
802577101,0,158
801126101,0,20
33754012,0,63
386384002,0,113
386384,0,1
012624003,0,1099
1562624016,0,57
01346R,0,23
882350R,0,230
882350003,0,98
65563R,0,18
632926325075,0,3
593190,0,10
78410766095,0,159
60910766,0,77
16359R,0,27
01360R,0,2
801104101,0,2
18313408206,0,10
365810777075,0,6
1015934682009,0,4
365812373075,0,2
78411475075,0,3
61811475075,0,14
335611475029,0,10
291912096,0,1
2941912002,0,37
28099R,0,5
8381221020,0,15
218373R,0,22
910380,0,78
294380,0,20
294380003,0,110
52382R,0,5
522204022,30295,1
522204022,0,1
01388R,0,2
