Código,Lote,Cantidad
335611466002,0,10
84411148,0,2
335610298,0,1
335610298002,0,9
84410298,0,1
902111151002,0,3
84411151002,0,7
63511152,0,4
335611152,0,4
335611154002,0,5
84410310,0,3
60410311,0,3
2941223002,0,26
638610972251,0,15
63210973075,0,7
6386919605095,0,21
162919605253,0,29
16217750,0,46
16217750075,0,1
638617751033,0,1
16217751253,0,127
93217748,0,119
6386938810056,0,87
638610977251,0,72
16217749,0,64
6386938811056,0,1
93217746095,0,9
13010987,0,9
13010988,0,12
16210988,0,12
09600R,3308561,6
09600R,3308566,5
09600R,0,32
09601R,0,56
05601R,0,20
12706797,0,5
12706797003,1,86
222431052,0,1
222431,0,13
134607R,0,10
